,energy,cTheta,phi,prob_b,spheri,pt2rel,multip,bqvjet,ptlrel,isb
31,49.894,-0.5585,-0.6342,0.0335,0.2658,0.0207,0.1281,0.0224,-0.0003,0.0
32,47.6875,0.7783,1.6696,0.0316,0.1406,0.0885,0.3025,0.0158,-0.0003,1.0
33,35.8709,-0.7604,-1.4314,0.2241,0.5397,0.0703,0.3732,0.3038,0.5292,1.0
34,49.2317,-0.1866,-2.1413,0.0995,0.1946,0.0258,0.6,0.0572,-0.0003,0.0
35,45.3315,0.1759,0.9926,0.0924,0.5846,0.0576,0.3065,0.0234,-0.0003,0.0
36,46.3172,-0.3592,-1.99,0.0334,0.2913,0.116,0.4354,0.0032,-0.0003,0.0
37,46.006,0.3798,1.1167,0.0,0.2019,0.0782,0.0873,0.003,-0.0003,0.0
38,48.2429,0.1466,-2.7698,0.0045,0.3698,0.2131,0.3447,0.009,-0.0003,0.0
39,45.4536,-0.1372,0.3677,0.0214,0.3593,0.1094,0.4375,0.0795,0.2192,0.0
40,44.3946,-0.2951,-2.365,0.0937,0.6737,0.0621,0.5724,0.1129,0.1984,0.0
41,43.6957,0.2976,0.7509,0.1355,0.3524,0.065,0.3537,0.1527,0.157,0.0
42,45.2186,0.1534,0.0678,0.1318,0.5799,0.0966,0.3943,0.0786,0.2658,1.0
43,45.0416,-0.1558,-3.0965,0.1436,0.1409,0.0832,0.6141,0.2243,-0.0003,1.0
44,49.1371,0.6976,-0.9542,0.0584,0.4172,0.0897,0.3859,0.0742,-0.0003,0.0
45,44.5014,-0.7048,2.1685,0.014,0.829,0.011,0.308,0.0115,-0.0003,0.0
46,46.1097,0.6556,-2.4268,0.0485,0.6877,0.0204,0.3923,0.0766,-0.0003,0.0
47,39.3378,-0.6495,0.7484,0.0148,0.2711,0.1222,0.3638,0.0751,-0.0003,0.0
48,47.834,0.4645,-2.7116,0.0094,0.3355,0.028,0.1727,0.0005,-0.0003,0.0
49,46.3935,-0.4634,0.4308,0.0122,0.5551,0.0053,0.1306,0.0012,-0.0003,0.0
50,49.0394,-0.773,-0.5048,0.0504,0.3387,0.0896,0.3432,0.0474,-0.0003,1.0
51,43.1342,0.7692,2.6316,0.102,0.3206,0.0249,0.3549,0.0302,-0.0003,1.0
52,53.2265,0.682,-1.7811,0.3127,0.7157,0.0424,0.4202,0.471,-0.0003,1.0
53,52.1828,-0.7029,1.3232,0.078,0.5319,0.0458,0.5067,0.3425,-0.0003,1.0
54,59.9252,-0.3281,-1.1895,0.0191,0.2794,0.0648,0.2856,0.1414,-0.0003,0.0
55,41.0437,0.2996,1.9401,0.0991,0.2662,0.0151,0.2248,0.2667,0.0626,0.0
56,46.7018,0.2468,-1.5017,0.0147,0.3849,0.1011,0.6517,0.1286,-0.0003,0.0
57,45.2522,-0.2572,1.677,0.009,0.1323,0.0284,0.2629,0.0174,-0.0003,0.0
58,50.5501,-0.46,2.9275,0.1226,0.5035,0.1317,0.596,0.1866,-0.0003,1.0
59,30.7073,0.4685,-0.2142,0.441,0.3338,0.036,0.1951,0.2672,0.3367,1.0
60,59.8733,0.0069,-2.5831,0.0533,0.6075,0.0591,0.3265,0.0222,-0.0003,0.0
61,53.8735,0.0106,0.5689,0.0264,0.0653,0.0361,0.2094,0.0058,-0.0003,0.0
62,45.3529,-0.1875,-0.3153,0.1772,0.5635,0.0193,0.1751,0.1371,-0.0003,0.0
63,39.0051,0.1823,2.8396,0.0591,0.4564,0.0148,0.4558,0.1171,-0.0003,0.0
64,62.8244,-0.4481,1.5108,0.2491,0.1132,0.0344,0.3227,0.0958,-0.0003,0.0
65,44.48,0.4443,-1.6438,0.0145,0.4296,0.024,0.264,0.0047,-0.0003,0.0
66,45.771,-0.2209,-3.0411,0.2062,0.3428,0.0483,0.4804,0.1528,0.2427,1.0
67,44.7761,0.2158,0.0876,0.0333,0.7154,0.0474,0.3075,0.0703,-0.0003,1.0
68,51.6335,-0.2831,2.2048,0.0038,0.209,0.0734,0.127,0.0112,-0.0003,0.0
69,45.1179,0.3122,-0.9642,0.0425,0.2203,0.0301,0.3507,0.0602,0.0791,0.0
70,29.3065,-0.7828,1.7557,0.0217,0.6044,0.0412,0.2472,0.0161,-0.0003,1.0
71,28.275,0.7689,-1.4373,0.0586,0.6172,0.0292,0.3998,0.0904,0.3596,1.0
72,46.4271,0.5638,-1.0551,0.0002,0.2767,0.0819,0.3481,0.0298,-0.0003,0.0
73,45.7374,-0.5582,2.0598,0.0126,0.5998,0.0459,0.6116,0.1556,-0.0003,0.0
74,47.8889,0.2168,0.1263,0.4345,0.4941,0.0576,0.4316,0.3936,-0.0003,1.0
75,37.0092,-0.1985,-3.0023,0.642,0.4234,0.1418,0.5087,0.5061,0.7823,1.0
76,48.0507,0.3542,1.4799,0.0949,0.142,0.0281,0.2588,0.0828,-0.0003,0.0
77,39.5483,-0.3475,-1.6095,0.04,0.5597,0.09,0.4995,0.0617,-0.0003,0.0
78,51.3436,0.4878,-1.1415,0.0059,0.6702,0.2029,0.5936,0.0915,-0.0003,0.0
79,42.0905,-0.4381,2.0359,0.0124,0.4215,0.0401,0.4019,0.0169,-0.0003,0.0
80,48.9296,-0.239,-0.0285,0.0011,0.3967,0.0857,0.5151,0.0425,-0.0003,0.0
81,44.2664,0.2784,3.1317,0.0079,0.5065,0.0401,0.2644,0.0428,-0.0003,0.0
82,48.6336,-0.4289,-0.2705,0.0121,0.3521,0.1914,0.387,0.0645,-0.0003,0.0
83,37.4334,0.4447,2.8809,0.0595,0.2221,0.0248,0.3227,0.1435,-0.0003,0.0
84,46.4088,0.288,2.4048,0.0159,0.699,0.019,0.3046,0.0287,-0.0003,0.0
85,45.2369,-0.2987,-0.7073,0.0117,0.3751,0.0239,0.3067,0.0132,-0.0003,0.0
86,45.6764,0.7409,0.2475,0.0253,0.1971,0.012,0.1748,0.033,-0.0003,0.0
87,38.4863,-0.7492,-2.8606,0.0051,0.669,0.0158,0.2745,0.0748,0.0886,0.0
88,46.8605,-0.6889,1.4304,0.0183,0.085,0.0506,0.217,0.0292,-0.0003,0.0
89,42.2339,0.6975,-1.7057,0.0213,0.6736,0.0233,0.2677,0.1379,-0.0003,0.0
90,52.9305,0.3916,-1.042,0.0198,0.0927,0.0772,0.2525,0.0287,-0.0003,0.0
91,42.1729,-0.3858,2.1537,0.0375,0.214,0.0378,0.1339,0.0151,-0.0003,0.0
92,49.4697,-0.4546,2.123,0.1192,0.2512,0.0967,0.4281,0.0682,-0.0003,0.0
93,42.2705,0.3866,-1.0055,0.053,0.0674,0.2518,0.2676,0.0097,-0.0003,0.0
94,47.9652,0.5386,-1.4882,0.0294,0.633,0.0667,0.5178,0.0451,-0.0003,0.0
95,33.6736,-0.5213,1.6325,0.0034,0.3961,0.0153,0.2374,0.0392,-0.0003,0.0
96,44.0253,0.0957,1.214,0.1762,0.3632,0.0904,0.5295,0.1779,-0.0003,1.0
97,39.3194,-0.1105,-1.9092,0.2066,0.1654,0.0779,0.3184,0.3358,0.3051,1.0
98,43.2258,0.4585,-2.3621,0.0277,0.0957,0.0785,0.3547,0.0467,-0.0003,0.0
99,38.9136,-0.4556,0.7667,0.0819,0.4777,0.1307,0.3193,0.1428,-0.0003,0.0
100,44.7333,-0.2145,0.2565,0.0008,0.2592,0.0278,0.3955,0.0629,-0.0003,0.0
101,42.5269,0.2206,-2.8773,0.0399,0.1259,0.0415,0.4453,0.0102,-0.0003,0.0
102,44.2878,0.51,2.1256,0.0154,0.2329,0.075,0.4846,0.0313,-0.0003,0.0
103,41.7395,-0.5001,-1.0056,0.0421,0.1458,0.0853,0.2238,0.1702,-0.0003,0.0
104,49.5888,0.4226,-0.6853,0.0597,0.5448,0.0675,0.3422,0.1765,-0.0003,1.0
105,42.9816,-0.424,2.4471,0.2969,0.5555,0.0727,0.3996,0.3557,-0.0003,1.0
106,51.5694,-0.7604,-1.318,0.0311,0.3266,0.0295,0.0847,0.009,-0.0003,0.0
107,47.5044,0.7818,1.796,0.1203,0.2872,0.2134,0.4758,0.0089,-0.0003,0.0
108,43.2715,-0.7005,-2.4714,0.0086,0.4518,0.0448,0.4433,0.0204,-0.0003,0.0
109,33.6828,0.7112,0.6961,0.0189,0.2948,0.0187,0.1899,0.0012,-0.0003,0.0
110,48.7343,0.1808,-0.2211,0.0096,0.0864,0.0828,0.3438,0.012,-0.0003,0.0
111,44.3702,-0.1662,2.938,0.0469,-1.0,0.0044,0.0881,0.0151,-0.0003,0.0
112,52.8573,-0.1131,-0.1305,0.0074,0.243,0.1122,0.5051,0.1138,-0.0003,0.0
113,45.304,0.134,3.0095,0.0378,0.144,0.0302,0.3941,0.0251,-0.0003,0.0
114,51.6091,-0.2938,0.6276,0.0327,0.4029,0.0335,0.4234,0.019,-0.0003,0.0
115,44.6296,0.2979,-2.4998,0.0491,0.0597,0.1783,0.3957,0.0266,-0.0003,0.0
116,50.8522,0.3551,1.3633,0.3027,0.2171,0.0348,0.2976,0.3408,-0.0003,1.0
117,36.7834,-0.351,-1.7771,0.1508,0.4556,0.0463,0.3706,0.1406,0.2982,1.0
118,49.3751,0.1983,-1.7078,0.6517,0.648,0.0518,0.4282,0.4492,-0.0003,1.0
119,39.3957,-0.1776,1.4245,0.1093,0.6472,0.0291,0.5001,0.1445,-0.0003,1.0
120,54.2214,-0.7992,-1.006,0.0405,0.2967,0.1675,0.5437,0.1323,-0.0003,0.0
121,40.0275,0.7715,2.0911,0.0285,0.6012,0.0478,0.4074,0.0242,-0.0003,0.0
122,65.7206,0.3564,1.6663,0.0409,0.441,0.0277,0.2394,0.1064,-0.0003,0.0
123,47.303,-0.3421,-1.4471,0.0524,0.5273,0.0533,0.2598,0.0583,0.1556,0.0
124,44.9714,0.1004,-2.348,0.2215,0.3312,0.0344,0.2633,0.3074,0.325,1.0
125,40.6317,-0.1146,0.7652,0.0365,0.8699,0.0643,0.4959,0.022,-0.0003,1.0
126,50.5806,-0.3892,0.3846,0.0347,0.5236,0.0772,0.3831,0.03,0.0254,0.0
127,44.1901,0.3477,-2.7001,0.0024,0.3972,0.0271,0.3086,0.0121,-0.0003,0.0
128,53.1319,0.5982,0.5388,0.0328,0.3592,0.0237,0.4204,0.0914,-0.0003,0.0
129,45.9541,-0.601,-2.6332,0.0481,0.1756,0.0198,0.3491,0.0237,-0.0003,0.0
130,49.1951,-0.7976,0.8813,0.0182,0.5485,0.032,0.3429,0.1479,-0.0003,0.0
131,44.9683,0.7876,-2.2514,0.0189,0.5297,0.0739,0.4827,0.0461,-0.0003,0.0
132,44.7425,0.3885,0.3472,0.0063,0.1567,0.0616,0.3076,0.0168,-0.0003,0.0
133,42.9786,-0.4052,-2.7926,0.0243,0.3151,0.0362,0.3552,0.017,-0.0003,0.0
134,48.6152,-0.6181,2.5476,0.0081,0.3055,0.0633,0.43,0.0139,-0.0003,0.0
135,48.2979,0.6319,-0.5645,0.0087,0.098,0.0956,0.2153,0.0041,-0.0003,0.0
136,51.7617,-0.1873,2.0202,0.0028,0.5177,0.0895,0.3808,0.0978,-0.0003,0.0
137,44.7974,0.2026,-1.1745,0.0144,0.1925,0.0394,0.5271,0.0475,-0.0003,0.0
138,35.8862,0.2965,-1.9843,0.1664,0.4319,0.0638,0.2799,0.2916,0.5321,1.0
139,23.8956,-0.2972,1.1566,0.2978,0.3185,0.0199,0.2631,0.2631,0.3114,1.0
140,47.4983,0.4016,-0.9576,0.0062,0.0769,0.0807,0.3028,0.0154,-0.0003,0.0
141,45.8747,-0.3758,2.1923,0.0451,0.1175,0.0385,0.3492,0.0488,-0.0003,0.0
142,49.3751,0.2047,-2.6818,0.7003,0.7894,0.1077,0.3854,0.1743,-0.0003,1.0
143,48.2307,-0.2113,0.5317,0.3564,0.6125,0.0527,0.3878,0.225,-0.0003,1.0
144,50.3517,0.1236,-0.1583,0.0017,0.6074,0.094,0.5113,0.0161,-0.0003,0.0
145,42.3743,-0.0887,3.0217,0.0104,0.2835,0.0779,0.4457,0.0229,-0.0003,0.0
146,52.9732,-0.2221,2.1862,0.0017,0.2482,0.2139,0.5048,0.0342,-0.0003,0.0
147,42.2492,0.2283,-0.9203,0.0085,0.5212,0.0276,0.4461,0.0291,-0.0003,0.0
148,56.3516,0.5008,0.4722,0.1244,0.3259,0.0574,0.29,0.0464,-0.0003,0.0
149,47.0863,-0.514,-2.6971,0.0203,0.572,0.0385,0.4336,0.011,-0.0003,0.0
150,51.0933,-0.6609,-0.9016,0.0259,0.3525,0.0643,0.5944,0.1324,-0.0003,0.0
151,47.8889,0.67,2.1984,0.0386,0.1227,0.0934,0.6475,0.0159,-0.0003,0.0
152,49.6773,0.4607,1.6856,0.0349,0.2507,0.076,0.5131,0.0328,-0.0003,0.0
153,44.4709,-0.4528,-1.4371,0.037,0.8258,0.0317,0.3961,0.0246,-0.0003,0.0
154,51.9051,0.576,-1.6215,0.0316,0.1738,0.0257,0.2537,0.0469,-0.0003,0.0
155,49.482,-0.6067,1.5576,0.0132,0.134,0.1201,0.5564,0.0148,-0.0003,0.0
156,49.6101,0.6769,1.994,0.0055,0.0926,0.0352,0.2994,0.1354,-0.0003,0.0
157,41.0925,-0.6777,-1.134,0.061,0.1325,0.0929,0.3595,0.0218,-0.0003,0.0
158,46.9856,-0.5968,-2.0295,0.078,0.6118,0.1338,0.5639,0.0236,0.1592,1.0
159,33.64,0.5633,1.1728,0.3109,0.6589,0.0754,0.475,0.3227,-0.0003,1.0
160,53.5592,0.0435,-2.0063,0.061,0.0913,0.0094,0.1258,0.0244,0.1307,0.0
161,46.1311,-0.0424,1.1063,0.0288,0.2027,0.1179,0.2179,0.0139,-0.0003,0.0
162,65.6565,0.2473,-1.2648,0.0116,0.1048,0.1425,0.2794,0.0131,-0.0003,0.0
163,47.3701,-0.2589,1.9335,0.1029,0.1453,0.0416,0.3463,0.0298,0.1689,0.0
164,44.7425,0.6624,1.8834,0.0011,0.2542,0.0287,0.3515,0.0502,-0.0003,0.0
165,44.5991,-0.6697,-1.2727,0.0165,0.4774,0.116,0.3078,0.0309,-0.0003,0.0
166,51.1391,-0.1289,1.9095,0.0153,0.3746,0.1871,0.3396,0.0251,-0.0003,0.0
167,46.4576,0.0972,-1.1831,0.0157,0.4329,0.1514,0.4786,0.0435,-0.0003,0.0
168,47.9744,0.0873,1.6427,0.1056,0.2115,0.0542,0.3883,0.0922,0.1146,0.0
169,43.2319,-0.0824,-1.486,0.0227,0.1633,0.0223,0.3547,0.0104,-0.0003,0.0
170,46.9581,-0.4072,0.6984,0.6687,0.5773,0.0483,0.4772,0.7781,-0.0003,1.0
171,31.6686,0.3877,-2.3996,0.2619,0.6395,0.0403,0.3383,0.2468,-0.0003,1.0
172,46.4759,-0.4833,-2.9629,0.0083,0.3144,0.0513,0.348,0.0368,-0.0003,0.0
173,42.7741,0.352,0.1597,0.0707,0.186,0.033,0.2223,0.0217,0.1203,0.0
174,44.4678,0.5081,-1.8932,0.0334,0.1554,0.1094,0.5721,0.0657,-0.0003,0.0
175,41.3275,-0.5008,1.2697,0.0491,0.1544,0.0431,0.3141,0.0515,0.1195,0.0
176,43.6591,-0.4866,0.4443,0.1038,0.5351,0.0553,0.2653,0.0923,-0.0003,0.0
177,43.3845,0.5035,-2.6946,0.1004,0.2023,0.0701,0.4429,0.1877,-0.0003,0.0
178,47.9744,-0.5253,-2.2186,0.0001,0.4585,0.2389,0.5177,0.0595,-0.0003,0.0
179,43.4241,0.5341,0.9315,0.1096,0.5581,0.0701,0.5314,0.0633,-0.0003,0.0
180,41.8891,-0.0595,0.8924,0.0092,0.4593,0.0376,0.1341,0.0468,-0.0003,0.0
181,39.2126,0.0703,-2.2183,0.0253,0.2043,0.0309,0.1821,0.0252,-0.0003,0.0
182,46.1433,0.5179,-2.8405,0.0163,0.7433,0.0806,0.2179,0.0187,-0.0003,0.0
183,42.0996,-0.5187,0.3831,0.0396,0.2295,0.099,0.2679,0.0884,-0.0003,0.0
184,47.9194,-0.2885,2.0642,0.0023,0.2452,0.048,0.4748,0.1519,-0.0003,0.0
185,42.826,0.283,-1.1136,0.0049,0.3133,0.0211,0.3111,0.105,-0.0003,0.0
186,49.5766,0.2154,2.3722,0.019,0.3809,0.0392,0.2567,0.0162,-0.0003,0.0
187,40.5859,-0.2175,-0.7826,0.009,0.7867,0.022,0.4059,0.1299,0.1712,0.0
188,48.6946,0.082,1.6078,0.8458,0.8174,0.0463,0.6447,0.673,-0.0003,1.0
189,40.0031,-0.1017,-1.5073,0.4251,0.4956,0.0494,0.3169,0.3043,0.204,1.0
190,52.6802,-0.5732,1.5333,0.0163,0.5236,0.081,0.337,0.0147,-0.0003,0.0
191,44.8188,0.5188,-1.6073,0.0351,0.0739,0.1138,0.2196,0.0317,-0.0003,0.0
192,48.1605,-0.1395,-0.2775,0.0216,0.5297,0.0967,0.6034,0.1109,-0.0003,0.0
193,47.7089,0.1404,2.8529,0.0051,0.034,0.0263,0.3024,0.0631,-0.0003,0.0
194,48.2063,0.3843,-0.8887,0.1534,0.2807,0.1622,0.5171,0.1634,-0.0003,0.0
195,46.6712,-0.3627,2.2251,0.0291,0.2565,0.0399,0.3911,0.0379,-0.0003,0.0
196,51.1696,0.287,-0.1951,0.5,0.2399,0.0579,0.382,0.5086,0.1707,1.0
197,49.6162,-0.2666,2.9598,0.2687,0.5376,0.0543,0.3422,0.4484,0.094,1.0
198,46.714,0.1721,0.5976,0.323,0.3412,0.0867,0.4344,0.288,-0.0003,1.0
199,41.883,-0.2413,-2.4791,0.0067,0.3708,0.0319,0.2236,0.2322,-0.0003,1.0
200,44.8463,0.6118,-2.4016,0.0016,0.6779,0.0126,0.2195,0.0303,-0.0003,0.0
201,44.6723,-0.615,0.7226,0.0016,0.456,0.0979,0.3517,0.0555,-0.0003,0.0
202,46.7262,-0.1829,-0.6554,0.1077,0.1023,0.022,0.391,0.0797,-0.0003,0.0
203,45.5482,0.1832,2.486,0.0137,0.15,0.0201,0.3936,0.0945,-0.0003,0.0
204,51.902,-0.1998,-2.7111,0.0099,0.3196,0.2063,0.7188,0.0339,-0.0003,0.0
205,45.3956,0.2072,0.4044,0.0105,0.2948,0.024,0.3939,0.032,0.2325,0.0
206,46.8269,-0.3481,-2.53,0.0438,0.1326,0.0474,0.4776,0.0368,-0.0003,0.0
207,40.8515,0.3675,0.6466,0.0153,0.4339,0.0228,0.4501,0.0546,0.1077,0.0
208,47.3487,0.5327,-2.3612,0.0299,0.5491,0.0108,0.2597,0.0148,-0.0003,0.0
209,33.0602,-0.5376,0.78,0.0121,0.2457,0.0135,0.0955,-0.0001,-0.0003,0.0
210,57.142,-0.7084,-2.5899,0.0138,0.2792,0.1023,0.4128,0.1192,-0.0003,0.0
211,55.848,0.7013,0.578,0.007,0.3971,0.0212,0.2076,0.014,-0.0003,0.0
212,44.6265,-0.1573,1.3362,0.0009,0.3971,0.0191,0.5716,0.0517,-0.0003,0.0
213,43.3631,0.1388,-1.7947,0.0624,0.1477,0.1272,0.5316,0.0844,-0.0003,0.0
214,46.4759,-0.4947,-0.9842,0.5234,0.4232,0.0736,0.3045,0.5727,-0.0003,1.0
215,32.0317,0.468,2.166,0.0606,0.5082,0.0266,0.4817,0.0466,0.1977,1.0
216,54.1482,-0.0508,-0.3561,0.451,0.5205,0.0628,0.251,0.5797,-0.0003,1.0
217,46.0975,0.0791,2.8127,0.3222,0.2227,0.1819,0.4796,0.3959,-0.0003,1.0
218,44.6326,-0.4389,2.7881,0.4498,0.3735,0.0899,0.3957,0.6074,-0.0003,1.0
219,42.5177,0.3761,-0.3828,0.0501,0.2631,0.072,0.3563,-0.02,-0.0003,1.0
220,44.4099,0.4591,2.2784,0.1475,0.1685,0.0372,0.3522,0.1745,-0.0003,1.0
221,39.1608,-0.4254,-0.8662,0.1169,0.7242,0.0378,0.3187,0.1025,0.1745,1.0
222,50.2022,-0.0877,-0.0692,0.0049,0.5105,0.2238,0.4265,0.0408,-0.0003,0.0
223,40.8453,0.0835,3.0034,0.0305,0.3699,0.0725,0.8553,0.0325,-0.0003,0.0
224,46.3783,0.1054,2.0656,0.0251,0.0302,0.0324,0.3047,0.0117,-0.0003,0.0
225,40.3052,-0.1157,-1.0553,0.0561,0.4951,0.0209,0.2711,0.0362,-0.0003,0.0
226,43.6347,-0.2121,-1.1478,0.4222,0.6043,0.0506,0.5307,0.6905,0.2661,1.0
227,42.3438,0.2771,1.9982,0.2454,0.6392,0.092,0.4458,0.2621,-0.0003,1.0
228,45.5817,0.2782,-0.8713,0.042,0.3513,0.0438,0.2186,0.0112,-0.0003,0.0
229,43.9826,-0.2581,2.2758,0.038,0.7067,0.0341,0.2648,0.0754,0.296,0.0
230,60.6882,0.3804,1.6087,0.0229,0.0643,0.1527,0.244,0.0239,-0.0003,0.0
231,49.7871,-0.4436,-1.5358,0.0235,0.5955,0.0275,0.2564,0.0947,-0.0003,0.0
232,48.5267,0.5531,1.6589,0.021,0.4151,0.0598,0.3442,0.0023,-0.0003,0.0
233,48.0873,-0.5736,-1.4983,0.0207,0.2573,0.0295,0.4743,0.0281,-0.0003,0.0
234,43.2685,0.5805,-1.5085,0.2821,0.5314,0.0363,0.266,0.3535,0.2056,1.0
235,42.8626,-0.5841,1.6534,0.026,0.4626,0.0664,0.3555,0.3149,-0.0003,1.0
236,47.2175,-0.0553,2.4916,0.0162,0.1238,0.0324,0.2166,0.0427,-0.0003,0.0
237,44.3336,0.0822,-0.5959,0.0229,0.5213,0.0757,0.6166,0.1606,-0.0003,0.0
238,46.2776,0.6419,-0.8492,0.0833,0.1508,0.0384,0.2613,0.0777,-0.0003,0.0
239,42.7222,-0.6674,2.3148,0.0134,0.2102,0.1118,0.5782,0.2016,-0.0003,0.0
240,52.1096,0.3882,-2.1136,0.1412,0.5648,0.0685,0.2112,0.0394,-0.0003,0.0
241,40.8057,-0.3844,1.0471,0.0592,0.5028,0.0198,0.4503,0.0616,-0.0003,0.0
242,45.832,0.6946,2.1016,0.1345,0.451,0.1167,0.5676,0.3825,-0.0003,1.0
243,42.2095,-0.7116,-1.0363,0.0432,0.514,0.0714,0.2231,0.0593,-0.0003,1.0
244,45.2125,-0.6149,2.2209,0.0021,0.6557,0.0277,0.2191,0.0104,-0.0003,0.0
245,39.6185,0.5505,-0.9279,0.0055,0.2984,0.0385,0.4993,0.0432,-0.0003,0.0
246,29.7581,0.9256,-2.5146,0.0257,0.532,0.0279,0.3445,0.0724,-0.0003,1.0
247,12.8054,0.3889,0.6369,0.3251,0.6676,0.0155,0.6549,0.347,-0.0003,1.0
248,47.5166,-0.3692,0.3922,0.008,0.3691,0.0279,0.2595,0.0311,-0.0003,0.0
249,46.9825,0.3628,-2.7516,0.0099,0.1355,0.0233,0.2603,0.0058,-0.0003,0.0
250,45.7404,0.2323,1.0464,0.011,0.1764,0.0208,0.3495,0.035,-0.0003,0.0
251,42.472,-0.2179,-2.0967,0.007,0.049,0.0331,0.3118,0.0197,-0.0003,0.0
252,45.594,-0.132,-2.1987,0.0248,0.1679,0.0293,0.306,0.0676,0.0514,0.0
253,40.5371,0.1377,0.9323,0.0442,0.1862,0.0241,0.406,0.1111,-0.0003,0.0
254,49.1554,0.2951,2.6536,0.1923,0.3928,0.0673,0.3859,0.1769,-0.0003,0.0
255,43.6957,-0.3086,-0.4818,0.056,0.6865,0.0215,0.3537,0.0187,-0.0003,0.0
256,50.66,0.6952,-0.8086,0.0198,0.2957,0.1649,0.2978,0.234,0.0935,0.0
257,48.8502,-0.6814,2.2629,0.0221,0.6449,0.0178,0.2147,0.0783,-0.0003,0.0
258,47.4037,0.1004,-2.063,0.0045,0.6468,0.1101,0.6925,0.2058,-0.0003,0.0
259,45.3162,-0.0875,1.0539,0.0451,0.2698,0.0709,0.3503,0.0241,0.2128,0.0
260,37.705,0.5383,0.3099,0.0758,0.1826,0.0318,0.184,0.0601,-0.0003,0.0
261,36.9146,-0.5153,-2.8245,0.0026,0.2629,0.0205,0.2314,0.04,-0.0003,0.0
262,49.8604,-0.5196,2.1719,0.0102,0.1112,0.0334,0.2563,0.1108,-0.0003,0.0
263,45.6764,0.5198,-0.9599,0.0126,0.4972,0.0271,0.437,0.0572,0.0211,0.0
264,45.6153,0.5397,-2.9386,0.056,0.3953,0.0159,0.3497,0.1713,-0.0003,0.0
265,43.8758,-0.5196,0.2501,0.0016,0.3271,0.1551,0.4858,0.0353,-0.0003,0.0
266,46.7567,-0.451,2.0876,0.3251,0.6926,0.0536,0.3041,0.2374,0.2132,1.0
